ID	Function	Source	Count
PRK00521.2-5	30S ribosome-binding factor RbfA	PRK00521	2
PRK00549.1	competence/damage-inducible protein A	PRK00549	7
PRK00567.1-3	large-conductance mechanosensitive channel protein MscL	PRK00567	1
PRK00567.1-4	large-conductance mechanosensitive channel protein MscL	PRK00567	1
PRK00571.1-3	F0F1 ATP synthase subunit epsilon	PRK00571	15
PRK00591.1	peptide chain release factor 1	PRK00591	13
PRK00596.1	30S ribosomal protein S10	PRK00596	14
PRK00654.1-1	glycogen synthase GlgA	PRK00654	9
PRK00654.1-2	glycogen synthase GlgA	PRK00654	2
PRK00701.1	Mn(2+) uptake NRAMP transporter MntH	PRK00701	33
PRK00702.1	ribose-5-phosphate isomerase RpiA	PRK00702	1
PRK00741.1	peptide chain release factor 3	PRK00741	43
PRK00768.1	ammonia-dependent NAD(+) synthetase	PRK00768	15
PRK00802.1-2	DNA-3-methyladenine glycosylase	PRK00802	4
PRK00856.1	aspartate carbamoyltransferase catalytic subunit	PRK00856	6
PRK00865.1-3	glutamate racemase	PRK00865	9
PRK00881.1	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	PRK00881	34
PRK00892.1	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	PRK00892	2
PRK00913.1-4	leucyl aminopeptidase	PRK00913	1
PRK00915.1-4	2-isopropylmalate synthase	PRK00915	2
PRK00924.1	5-dehydro-4-deoxy-D-glucuronate isomerase	PRK00924	21
PRK00977.1-2	exodeoxyribonuclease VII small subunit	PRK00977	5
PRK00982.1-4	acyl carrier protein	PRK00982	2
PRK00982.1-5	acyl carrier protein	PRK00982	1
PRK01060.1-1	deoxyribonuclease IV	PRK01060	18
PRK01076.1	L-rhamnose isomerase	PRK01076	2
PRK01117.1	adenylosuccinate synthase	PRK01117	43
PRK01130.1	putative N-acetylmannosamine-6-phosphate 2-epimerase	PRK01130	1
PRK01213.1	phosphoribosylformylglycinamidine synthase subunit PurL	PRK01213	52
PRK01259.1	ribose-phosphate diphosphokinase	PRK01259	19
PRK01318.1-3	membrane protein insertase YidC	PRK01318	2
PRK01388.1	arginine deiminase	PRK01388	4
PRK01641.1	3-isopropylmalate dehydratase small subunit	PRK01641	1
PRK01655.1	transcriptional regulator Spx	PRK01655	7
PRK01678.1	type B 50S ribosomal protein L31	PRK01678	5
PRK01713.1	ornithine carbamoyltransferase	PRK01713	1
PRK01827.1-2	thymidylate synthase	PRK01827	8
PRK01844.1	YneF family protein	PRK01844	4
PRK01966.1-4	D-alanine--D-alanine ligase	PRK01966	4
PRK01966.1-5	D-alanine--D-alanine ligase	PRK01966	15
PRK02122.1	glucosamine-6-phosphate deaminase-like protein	PRK02122	1
PRK02234.1-1	Holliday junction resolvase RecU	PRK02234	3
PRK02234.1-5	Holliday junction resolvase RecU	PRK02234	13
PRK02260.2-4	S-ribosylhomocysteine lyase	PRK02260	4
PRK02269.1	ribose-phosphate diphosphokinase	PRK02269	39
PRK02304.1-2	adenine phosphoribosyltransferase	PRK02304	16
PRK02406.1	DNA polymerase IV	PRK02406	15
PRK02458.1	ribose-phosphate diphosphokinase	PRK02458	21
