L1	L2	L3	ID	Function	EC	Gene	Count
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	K20997	Polysaccharide biosynthesis protein PslA		pslA	2
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K21027	TRNA-5-taurinomethyluridine 2-sulfurtransferase	2.8.1.14	TRMU, SLM3	2
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K21053	Adenine deaminase	3.5.4.2	ade	2
Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism [PATH:ko00740]	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	3.1.3.104	ycsE, yitU, ywtE	2
Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	K21303	UDP-GalNAc:undecaprenyl-phosphate GalNAc-1-phosphate transferase	2.7.8.40	wecP	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21431	Alpha-keto-acid decarboxylase	4.1.1.-	kdc	7
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis [PATH:ko00550]	K21465	Penicillin-binding protein A		pbpA	1
Brite Hierarchies	Protein families: metabolism	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	K21465	Penicillin-binding protein A		pbpA	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21528	Serine recombinase	3.1.22.- 6.5.1.-	gin	3
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21567	Ferredoxin/flavodoxin---NADP+ reductase	1.18.1.2 1.19.1.1	fnr	1
Brite Hierarchies	Protein families: genetic information processing	Mitochondrial biogenesis [BR:ko03029]	K21594	Translation factor GUF1, mitochondrial	3.6.5.-	GUF1	2
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21713	Lytic chitin monoxygenase	1.14.99.53	lpmo	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K21977	Phosphopantothenate---cysteine ligase (CTP)	6.3.2.5	coaB	1
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K21993	Formate transporter		fdhC	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K22229	2-ketogluconate reductase	1.1.1.215		2
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism [PATH:ko00562]	K22230	Scyllo-inositol 2-dehydrogenase (NADP+)	1.1.1.-	iolU	4
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K22293	GntR family transcriptional regulator, rspAB operon transcriptional repressor		rspR	1
Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	K22330	Tyrosine decarboxylase	4.1.1.25	tyrDC	45
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K22927	Cyclic-di-AMP phosphodiesterase	3.1.4.59	gdpP	1
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K22994	Pectate disaccharide-lyase	4.2.2.9	pelX	12
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23059	Arginine/lysine/histidine transporter system substrate-binding protein		artP, artI	2
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23059	Arginine/lysine/histidine transporter system substrate-binding protein		artP, artI	2
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23060	Arginine/lysine/histidine transport system ATP-binding protein	7.4.2.1	artR, artM	2
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23060	Arginine/lysine/histidine transport system ATP-binding protein	7.4.2.1	artR, artM	2
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23186	Ferric enterobactin transport system permease protein		fepD	1
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23186	Ferric enterobactin transport system permease protein		fepD	1
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23188	Ferric enterobactin transport system ATP-binding protein	7.2.2.17	fepC	7
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23188	Ferric enterobactin transport system ATP-binding protein	7.2.2.17	fepC	7
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K23265	Phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase	6.3.5.3 3.5.1.2	purQ	1
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K23265	Phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase	6.3.5.3 3.5.1.2	purQ	1
Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	K23265	Phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase	6.3.5.3 3.5.1.2	purQ	1
Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism [PATH:ko00471]	K23265	Phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase	6.3.5.3 3.5.1.2	purQ	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K23269	Phosphoribosylformylglycinamidine synthase subunit PurL	6.3.5.3	purL	22
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K23271	Erythritol/L-threitol dehydrogenase	1.1.1.-	eltD	2
