ASV	BCMy_011	BCMy_021	BCMy_031	BCMy_041	BCMy_051	BCMy_061	BCMy_071	BCMy_081	BCMy_091	BCMy_101	BCMy_111	BCMy_121	BCMy_131	BCMy_141	BCMy_151	BCMy_161	BCMy_171	BCMy_181	BCMy_191	BCMy_201	BCMy_211	BCMy_221	BCMy_231	BCMy_241	BCMy_251	BCMy_261	BCMy_271	BCMy_281	BCMy_291	BCMy_301
zotu_292;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_cecorum	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	21	1	0	0	0	11	0	0	0	0	0	0	0
zotu_299;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;g__Devosia;s__Devosia_submarina	128	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_300;d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Snodgrassella;s__Snodgrassella_alvi	0	3	0	0	0	2	69	0	1	1	1	0	0	0	1	0	0	0	2	0	0	1	67	1	2	0	1	0	0	1
zotu_305;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_alpina	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_310;d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria_elongata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0
zotu_318;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium_komagatae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	158	0	0
zotu_328;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__Paracoccus_gahaiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
zotu_329;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_melliventris	1	0	2	0	0	0	0	0	138	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
zotu_332;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_desiccabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0
zotu_346;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__Mitochondria_Mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	132	0
zotu_349;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_cecorum	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_354;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_quasihormaechei	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_356;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Gilliamella;s__Gilliamella_apicola	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	94	0	2	0	0	0	0
zotu_358;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Apilactobacillus;s__Apilactobacillus_uncl	1	9	8	11	0	9	0	0	1	8	4	3	0	7	15	0	1	4	8	8	11	2	133	3	8	3	0	5	0	7
zotu_359;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_uncl	2	0	0	1	0	17	1	0	0	0	0	14	1	0	0	0	0	13	0	0	0	0	0	14	13	8	15	16	6	28
zotu_362;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_uncl	2	0	0	2	1	18	3	0	1	0	1	11	6	0	0	0	1	16	3	0	1	0	2	10	25	15	14	18	5	43
